Recorded values are:
Sensor1	Sensor2	Sensor3	
1050	0	0
13	259	258
14	259	258
14	254	254
15	252	252
15	254	254
16	255	254
16	252	251
17	255	254
17	256	256
17	355	332
17	308	308
1	288	289
1	277	278
2	269	270
2	265	265
3	262	261
3	261	260
4	262	262
4	248	250
