Recorded values are:
Sensor1	Sensor2	Sensor3	
52	2251	0
50	251	0
74	250	251
75	251	252
75	250	251
76	250	251
76	250	251
77	251	251
77	250	251
78	250	251
78	250	251
79	250	251
79	348	326
79	333	325
1	294	295
1	122	119
2	121	115
2	196	190
3	142	134
3	204	198
4	90	124
4	196	194
5	224	222
5	234	237
6	212	204
6	300	292
7	238	223
7	246	245
8	270	264
8	309	307
9	287	287
9	251	254
10	271	275
10	317	330
11	306	308
