Recorded values are:
Time,Sensor2,Sensor3
0,1214,0
500,1217,1
1000,1187,2
1500,1256,3
2000,1256,4
2500,1249,5
3000,1240,6
3500,1238,7
4000,1241,8
4500,1241,9
5000,1245,10
5500,1259,11
6000,1273,12
6501,1296,13
7000,1273,14
7500,1270,15
8000,1267,16
8500,1268,17
9000,1275,18
9500,1281,19
10000,1278,20
10500,1289,21
11000,1289,22
11500,1293,23
12000,1294,24
12500,1299,25
13000,1311,26
13500,1302,27
14000,1297,28
14500,1272,29
15000,1279,30
15500,1283,31
16000,1288,32
16500,1314,33
17000,10287,34
17500,20345,35
18000,27749,36
18500,29714,37
19000,36276,38
19500,64256,39
20000,65535,40
20500,65535,41
21000,65535,42
21500,65535,43
22000,65535,44
22501,65535,45
23000,65535,46
23500,65535,47
24000,64580,48
24500,47525,49
25000,32696,50
25500,28811,51
26000,27890,52
26500,26715,53
27000,22313,54
27500,20405,55
28000,18784,56
28500,17802,57
29000,15670,58
29500,14402,59
30000,13087,60
30500,12350,61
31000,11740,62
31500,14290,63
32000,4262,64
32500,1237,65
33000,1253,66
33500,1313,67
34000,1365,68
34500,1360,69
