Recorded values are:
Time,Sensor2,Sensor3
0,1919,0
500,1920,1
1000,1920,2
1500,1397,3
2000,6759,4
2500,11589,5
3000,19927,6
3500,22180,7
4000,23266,8
4500,4485,9
5000,1920,10
5500,1918,11
6000,1919,12
6500,1917,13
7000,1918,14
7500,1921,15
8000,2838,16
8500,42425,17
9000,58751,18
9500,59905,19
10000,60737,20
10500,61220,21
11000,61902,22
11500,57118,23
12000,46980,24
12500,30231,25
13000,27841,26
13500,23385,27
14000,21313,28
14501,19274,29
15000,17990,30
15500,15481,31
16000,12121,32
16500,11586,33
17000,10151,34
17500,9494,35
18000,8771,36
18500,7711,37
19000,6916,38
19500,6378,39
20000,5891,40
20500,5275,41
21000,2884,42
21500,1922,43
22000,1934,44
22500,2160,45
23000,1909,46
23500,1915,47
24000,1916,48
24500,1915,49
25000,1916,50
25500,1913,51
26000,1908,52
26500,1908,53
27000,1919,54
27500,1915,55
28000,1907,56
28500,1938,57
29000,1930,58
29500,1908,59
30000,1898,60
30501,1902,61
31000,1912,62
31500,1948,63
32000,1969,64
32500,1931,65
33000,1915,66
33500,1918,67
34000,1917,68
34500,1971,69
35000,1912,70
35500,1961,71
36000,1944,72
36500,1955,73
37000,1979,74
37500,1979,75
38000,1972,76
38500,1973,77
39000,1975,78
39500,1974,79
40000,1977,80
40500,1983,81
41000,1981,82
41500,1981,83
42000,1979,84
42500,1959,85
43000,1902,86
43500,1870,87
44000,1881,88
44500,1857,89
45000,1812,90
45500,1844,91
46000,1490,92
46501,991,93
47000,639,94
47500,486,95
48000,294,96
48500,98,97
49000,22,98
49500,8,99
50000,8,100
50500,8,101
51000,8,102
51500,8,103
52000,8,104
52500,1,105
53000,1,106
53500,288,107
54000,1376,108
54500,1632,109
55000,1898,110
55500,1918,111
56000,1919,112
56500,1921,113
57000,1917,114
57500,1814,115
58000,1662,116
58500,245,117
59000,72,118
59500,74,119
60000,70,120
60500,58,121
61000,17,122
61500,1,123
62000,1,124
62501,1,125
63000,1,126
63500,1,127
64000,1,128
64500,1,129
65000,1,130
65500,1,131
66000,1,132
66500,1,133
67000,1,134
67500,1,135
68000,1,136
68500,373,137
69000,1587,138
69500,1462,139
70000,691,140
70500,554,141
71000,1859,142
71500,1477,143
72000,1618,144
72500,1606,145
73000,1848,146
73500,1752,147
74000,1784,148
74500,1513,149
75000,148,150
75500,25,151
76000,22,152
76500,8,153
77000,8,154
77500,8,155
78000,1,156
78501,1,157
79000,1,158
79500,112,159
80000,2,160
80500,2,161
81000,896,162
81500,842,163
82000,140,164
82500,63,165
83000,5,166
83500,1,167
84000,1,168
84500,8,169
85000,6,170
85500,4,171
86000,5,172
86500,7,173
87000,1,174
87500,1,175
88000,1,176
88500,1,177
89000,1,178
89500,5,179
90000,9,180
90500,8,181
91000,8,182
91500,1,183
92000,1,184
92500,1,185
93000,1,186
93500,1,187
94000,1,188
94501,1,189
95000,1,190
95500,1,191
96000,1,192
96500,1,193
97000,1,194
97500,1,195
98000,1,196
98500,4,197
99000,4,198
99500,4,199
100000,4,200
100500,4,201
101000,1,202
101500,1,203
102000,5,204
102500,6,205
103000,8,206
103500,8,207
104000,10,208
104500,12,209
105000,15,210
105500,18,211
106000,42,212
106500,26,213
107000,36,214
107500,47,215
108000,50,216
108500,369,217
109000,592,218
109500,1481,219
110001,1967,220
110502,1972,221
111002,1973,222
111503,1983,223
112004,1964,224
112504,1982,225
113005,1980,226
113506,1907,227
114008,24,228
114506,4,229
115004,1,230
115502,1,231
116000,1,232
116500,1,233
117000,335,234
117500,722,235
118000,770,236
118500,1118,237
119001,1250,238
119501,1129,239
120002,1040,240
120503,1172,241
121004,1301,242
121504,1518,243
122005,1491,244
122506,1327,245
123008,1236,246
123508,1255,247
124009,1323,248
124510,1352,249
125011,1446,250
125511,1379,251
126012,1425,252
126513,1137,253
127015,1338,254
127515,1244,255
128016,590,256
128516,487,257
129015,127,258
129515,127,259
130013,2,260
130510,2,261
131008,2,262
131506,1,263
132003,1,264
132501,1,265
133000,18,266
133500,18,267
134000,32,268
134500,1,269
135000,1,270
135500,48,271
136000,48,272
136500,23,273
137000,1,274
137500,1,275
138000,13,276
138500,13,277
139000,19,278
139500,19,279
140000,7,280
140500,7,281
141000,7,282
141500,9,283
142000,1,284
142501,1,285
143000,1,286
143500,1,287
144000,1,288
144500,1,289
145000,1,290
145500,1,291
146000,1,292
146500,1,293
147000,1,294
147500,1,295
148000,1,296
148500,1,297
149000,1,298
149500,1,299
150000,1,300
150500,1,301
151000,1,302
151500,1,303
152000,1,304
152500,1,305
153000,1,306
153500,1,307
154000,1,308
154500,1,309
155000,1,310
155500,1,311
156000,1,312
156500,1,313
157000,1,314
157500,1,315
158000,1,316
158501,1,317
159000,1,318
159500,1,319
160000,1,320
160500,1,321
161000,1,322
161500,1,323
162000,1,324
162500,1,325
163000,1,326
163500,1,327
164000,1,328
164500,1,329
165000,1,330
165500,1,331
