Recorded values are:
Time,Sensor2,Sensor3
166000,1,332
166500,1,333
167000,1,334
167500,1,335
168000,1,336
168500,1,337
169000,1,338
169500,1,339
170000,1,340
170500,1,341
171000,1,342
171500,1,343
172000,1,344
172500,1,345
173000,1,346
173500,1,347
174000,1,348
174501,1,349
175000,1,350
175500,1,351
176000,1,352
176500,1,353
177000,1,354
177500,1,355
178000,1,356
178500,1,357
179000,1,358
179500,1,359
180000,1,360
180500,1,361
181000,1,362
181500,1,363
182000,1,364
182500,1,365
183000,1,366
183500,1,367
184000,1,368
184500,1,369
185000,1,370
185500,1,371
186000,1,372
186500,1,373
187000,1,374
187500,1,375
188000,1,376
188500,1,377
189000,1,378
189500,1,379
190000,1,380
190501,1,381
191000,1,382
191500,1,383
192000,1,384
192500,1,385
193000,1,386
193500,1,387
194000,1,388
194500,1,389
195000,1,390
195500,1,391
196000,1,392
196500,1,393
197000,1,394
197500,1,395
198000,1,396
198500,1,397
199000,1,398
199500,1,399
200000,1,400
200500,1,401
201000,1,402
201500,1,403
202000,1,404
202500,1,405
203000,1,406
203500,1,407
204000,1,408
204500,1,409
205000,1,410
205500,1,411
206000,1,412
206501,1,413
207000,1,414
207500,1,415
208000,1,416
208500,1,417
209000,1,418
209500,1,419
210000,1,420
210500,1,421
211000,1,422
211500,1,423
212000,1,424
212500,1,425
213000,1,426
213500,1,427
214000,1,428
214500,1,429
215000,1,430
215500,1,431
216000,1,432
216500,1,433
217000,1,434
217500,1,435
218000,1,436
218500,1,437
219000,1,438
219500,1,439
220000,1,440
220500,1,441
221000,1,442
221500,1,443
222000,1,444
222501,1,445
223000,1,446
223500,1,447
224000,1,448
224500,1,449
225000,1,450
225500,1,451
226000,1,452
226500,1,453
227000,1,454
227500,1,455
228000,1,456
228500,1,457
229000,1,458
229500,1,459
230000,1,460
230500,1,461
231000,1,462
231500,1,463
232000,1,464
232500,1,465
233000,1,466
233500,1,467
234000,1,468
234500,1,469
235000,1,470
235500,1,471
236000,1,472
236500,1,473
237000,1,474
237500,1,475
238000,1,476
238501,1,477
239000,1,478
239500,1,479
240000,1,480
240500,1,481
241000,1,482
241500,1,483
242000,1,484
242500,1,485
243000,1,486
243500,1,487
244000,1,488
244500,1,489
245000,1,490
245500,1,491
246000,1,492
246500,1,493
247000,1,494
247500,1,495
248000,1,496
248500,1,497
249000,1,498
249500,1,499
250000,1,500
250500,1,501
251000,1,502
251500,1,503
252000,1,504
252500,1,505
253000,1,506
253500,1,507
254000,1,508
254501,1,509
255000,1,510
255500,1,511
256000,1,512
256500,1,513
257000,1,514
257500,1,515
258000,1,516
258500,1,517
259000,1,518
259500,1,519
260000,1,520
260500,1,521
261000,1,522
261500,1,523
262000,1,524
262500,1,525
263000,1,526
263500,1,527
264000,1,528
264500,1,529
265000,1,530
265500,1,531
266000,1,532
266500,1,533
267000,1,534
267500,1,535
268000,1,536
268500,1,537
269000,1,538
269500,1,539
270000,1,540
270501,1,541
271000,1,542
271500,1,543
272000,1,544
272500,1,545
273000,1,546
273500,1,547
274000,1,548
274500,1,549
275000,1,550
275500,1,551
276000,1,552
276500,1,553
277000,1,554
277500,1,555
278000,1,556
278500,1,557
279000,1,558
279500,1,559
280000,1,560
280500,1,561
281000,1,562
281500,1,563
282000,1,564
282500,1,565
283000,1,566
283500,1,567
284000,1,568
284500,1,569
285000,1,570
285500,1,571
286000,1,572
286501,1,573
287000,1,574
287500,1,575
288000,1,576
288500,1,577
289000,1,578
289500,1,579
290000,1,580
290500,1,581
291000,1,582
291500,1,583
292000,1,584
292500,1,585
293000,1,586
293500,1,587
294000,1,588
294500,1,589
295000,1,590
295500,1,591
296000,1,592
296500,1,593
297000,1,594
297500,1,595
298000,1,596
298500,1,597
299000,1,598
299500,1,599
300000,1,600
300500,1,601
301000,1,602
301500,1,603
302000,1,604
302501,1,605
303000,1,606
303500,1,607
304000,1,608
